symbol,name,series
DOLLEX,Dollex Agrotech Limited,EQ
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,EQ
DOMS,DOMS Industries Limited,EQ
DONEAR,Donear Industries Limited,EQ
DPABHUSHAN,D. P. Abhushan Limited,EQ
DRAGARWQ,Dr Agarwals Eye Hospital Limited,EQ
DRCSYSTEMS,DRC Systems India Limited,EQ
DREAMFOLKS,Dreamfolks Services Limited,EQ
DREDGECORP,Dredging Corporation of India Limited,EQ
DRREDDY,Dr. Reddy's Laboratories Limited,EQ
DSFCL,DCM Shriram Fine Chemicals Limited,EQ
DSSL,Dynacons Systems & Solutions Limited,EQ
DUCON,Ducon Infratechnologies Limited,EQ
DVL,Dhunseri Ventures Limited,EQ
DWARKESH,Dwarikesh Sugar Industries Limited,EQ
DYCL,Dynamic Cables Limited,EQ
DYNAMATECH,Dynamatic Technologies Limited,EQ
DYNPRO,Dynemic Products Limited,EQ
EASEMYTRIP,Easy Trip Planners Limited,EQ
EASTWEST,East West Freight Carriers Limited,EQ
EBGNG,GNG Electronics Limited,EQ
ECLERX,eClerx Services Limited,EQ
ECORECO,Eco Recycling Limited,EQ
